jahr;bfs_nr_gemeinde;gemeindename;kultur_code;kultur_bezeichnung;landw_nutzflaeche_in_aren;anzahl_baeume
2023;4401;Arbon;0504;Hafer;114.04;
2023;4401;Arbon;0512;Sommerweizen (ohne Futterweizen der Sortenliste swiss granum);392.87;
2023;4401;Arbon;0513;Winterweizen (ohne Futterweizen der Sortenliste swiss granum);1377.24;
2023;4401;Arbon;0521;Silo- und Grünmais;2040.14;
2023;4401;Arbon;0554;Einjährige gärtnerische Freilandkulturen (Blumen, Rollrasen, usw.);27.83;
2023;4401;Arbon;0703;Obstanlagen (Birnen);89.84;
2023;4401;Arbon;0704;Obstanlagen (Steinobst);25.77;
2023;4401;Arbon;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;110.24;
2023;4401;Arbon;0922;Nussbäume;;34
2023;4401;Arbon;0926;andere Bäume;;3
2023;4406;Dozwil;0551;Einjährige Beeren (z.B. Erdbeeren);280.04;
2023;4406;Dozwil;0601;Kunstwiesen (ohne Weiden);1103.39;
2023;4406;Dozwil;0705;Mehrjährige Beeren;206.27;
2023;4406;Dozwil;0714;Ziersträucher, Ziergehölze,  und Zierstauden;439.6;
2023;4411;Egnach;0504;Hafer;342.03;
2023;4411;Egnach;0513;Winterweizen (ohne Futterweizen der Sortenliste swiss granum);4494.72;
2023;4411;Egnach;0515;Mischel Brotgetreide;99.93;
2023;4411;Egnach;0516;Dinkel;624.46;
2023;4411;Egnach;0524;Kartoffeln;263.69;
2023;4411;Egnach;0526;Sommerraps zur Speiseölgewinnung;192.46;
2023;4411;Egnach;0545;Einjährige Freilandgemüse, ohne Konservengemüse;2275.73;
2023;4411;Egnach;0554;Einjährige gärtnerische Freilandkulturen (Blumen, Rollrasen, usw.);38.69;
2023;4411;Egnach;0578;Hirse zur Körnergewinnung;242.26;
2023;4411;Egnach;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;23.63;
2023;4411;Egnach;0704;Obstanlagen (Steinobst);3260.02;
2023;4411;Egnach;0705;Mehrjährige Beeren;1046.49;
2023;4411;Egnach;0710;Spargel;23.49;
2023;4411;Egnach;0723;Baumschule von Obst und Beeren;129.08;
2023;4411;Egnach;0807;Übrige Spezialkulturen in geschütztem Anbau ohne festes Fundament;55.61;
2023;4411;Egnach;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;780.81;
2023;4411;Egnach;0921;Hochstammfeldobstbäume;;12855
2023;4411;Egnach;0922;Nussbäume;;164
2023;4411;Egnach;0923;Edelkastanienbäume;;3
2023;4411;Egnach;10572;Nützlingsstreifen mehrjährig;4.66;
2023;4416;Hefenhofen;0502;Wintergerste;2374.48;
2023;4416;Hefenhofen;0521;Silo- und Grünmais;6338.58;
2023;4416;Hefenhofen;0522;Zuckerrüben;970.53;
2023;4416;Hefenhofen;0545;Einjährige Freilandgemüse, ohne Konservengemüse;1415.64;
2023;4416;Hefenhofen;0612;Wenig intensiv gen. Wiesen (ohne Weiden);320.67;
2023;4416;Hefenhofen;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;125.86;
2023;4416;Hefenhofen;0714;Ziersträucher, Ziergehölze,  und Zierstauden;240.21;
2023;4416;Hefenhofen;0725;Permakultur (kleinräumige Misschung verschiedener Kulturen mit mehr als 50% Spezialkulturen);8.96;
2023;4416;Hefenhofen;0731;Andere Obstanlagen (Kiwi, Holunder, usw.);18.31;
2023;4416;Hefenhofen;0807;Übrige Spezialkulturen in geschütztem Anbau ohne festes Fundament;4.83;
2023;4416;Hefenhofen;0922;Nussbäume;;27
2023;4416;Hefenhofen;0924;Einheimische standortgerechte Einzelbäume und Alleen;;61
2023;4416;Hefenhofen;0926;andere Bäume;;14
2023;4421;Horn;0513;Winterweizen (ohne Futterweizen der Sortenliste swiss granum);104.52;
2023;4421;Horn;0521;Silo- und Grünmais;929.45;
2023;4421;Horn;0601;Kunstwiesen (ohne Weiden);1669.59;
2023;4421;Horn;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);9.02;
2023;4421;Horn;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;2.76;
2023;4421;Horn;0921;Hochstammfeldobstbäume;;126
2023;4421;Horn;0926;andere Bäume;;2
2023;4426;Kesswil;0504;Hafer;111.57;
2023;4426;Kesswil;0522;Zuckerrüben;293.55;
2023;4426;Kesswil;0572;Nützlingsstreifen einjährig;19.2;
2023;4426;Kesswil;0612;Wenig intensiv gen. Wiesen (ohne Weiden);186.39;
2023;4426;Kesswil;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;59.56;
2023;4426;Kesswil;0698;Übrige Grünfläche (Dauergrünfläche), nicht beitragsberechtigt;112.2;
2023;4426;Kesswil;0703;Obstanlagen (Birnen);879.99;
2023;4426;Kesswil;0704;Obstanlagen (Steinobst);484.67;
2023;4426;Kesswil;0705;Mehrjährige Beeren;1557.51;
2023;4426;Kesswil;0714;Ziersträucher, Ziergehölze,  und Zierstauden;1202.66;
2023;4426;Kesswil;0802;Übrige Spezialkulturen in Gewächshäusern mit festem Fundament;294.03;
2023;4426;Kesswil;0811;"Gemüsekulturen in geschütztem Anbau ohne festes Fundament; im gewachsenen Boden";7.05;
2023;4426;Kesswil;0897;Übrige Flächen innerhalb der LN, beitragsberechtigt;1.1;
2023;4426;Kesswil;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;98.93;
2023;4426;Kesswil;0923;Edelkastanienbäume;;7
2023;4426;Kesswil;0926;andere Bäume;;4
2023;4426;Kesswil;10572;Nützlingsstreifen mehrjährig;12.82;
2023;4431;Roggwil (TG);0521;Silo- und Grünmais;7748.28;
2023;4431;Roggwil (TG);0526;Sommerraps zur Speiseölgewinnung;150.26;
2023;4431;Roggwil (TG);0556;Buntbrache;30.44;
2023;4431;Roggwil (TG);0613;Übrige Dauerwiesen (ohne Weiden);43481.77;
2023;4431;Roggwil (TG);0704;Obstanlagen (Steinobst);825.21;
2023;4431;Roggwil (TG);0706;Mehrjährige Gewürz- und Medizinalpflanzen;534.53;
2023;4431;Roggwil (TG);0712;Christbäume;181.48;
2023;4431;Roggwil (TG);0723;Baumschule von Obst und Beeren;291.78;
2023;4431;Roggwil (TG);0802;Übrige Spezialkulturen in Gewächshäusern mit festem Fundament;103.91;
2023;4431;Roggwil (TG);0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;159.5;
2023;4431;Roggwil (TG);0921;Hochstammfeldobstbäume;;10543
2023;4431;Roggwil (TG);0922;Nussbäume;;365
2023;4431;Roggwil (TG);0924;Einheimische standortgerechte Einzelbäume und Alleen;;288
2023;4436;Romanshorn;0504;Hafer;86.48;
2023;4436;Romanshorn;0508;Körnermais;497.18;
2023;4436;Romanshorn;0522;Zuckerrüben;121.32;
2023;4436;Romanshorn;0527;Winterraps zur Speiseölgewinnung;949.11;
2023;4436;Romanshorn;0531;Sonnenblumen zur Speiseölgewinnung;211.64;
2023;4436;Romanshorn;0601;Kunstwiesen (ohne Weiden);4842.36;
2023;4436;Romanshorn;0617;Extensiv genutzte Weiden;221.58;
2023;4436;Romanshorn;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;44.5;
2023;4436;Romanshorn;0702;Obstanlagen (Äpfel);1233.74;
2023;4436;Romanshorn;0704;Obstanlagen (Steinobst);420.06;
2023;4436;Romanshorn;0712;Christbäume;165.53;
2023;4436;Romanshorn;0811;"Gemüsekulturen in geschütztem Anbau ohne festes Fundament; im gewachsenen Boden";24.35;
2023;4436;Romanshorn;0852;Hecken-, Feld- und Ufergehölze (mit Krautsaum);2.11;
2023;4441;Salmsach;0508;Körnermais;457.11;
2023;4441;Salmsach;0527;Winterraps zur Speiseölgewinnung;120.49;
2023;4441;Salmsach;0545;Einjährige Freilandgemüse, ohne Konservengemüse;1958.44;
2023;4441;Salmsach;0557;Rotationsbrache;59.36;
2023;4441;Salmsach;0601;Kunstwiesen (ohne Weiden);1837.66;
2023;4441;Salmsach;0612;Wenig intensiv gen. Wiesen (ohne Weiden);226.4;
2023;4441;Salmsach;0617;Extensiv genutzte Weiden;29.67;
2023;4441;Salmsach;0702;Obstanlagen (Äpfel);372.05;
2023;4441;Salmsach;0703;Obstanlagen (Birnen);1153.27;
2023;4441;Salmsach;0704;Obstanlagen (Steinobst);18.17;
2023;4441;Salmsach;0705;Mehrjährige Beeren;50.23;
2023;4441;Salmsach;0923;Edelkastanienbäume;;2
2023;4441;Salmsach;0924;Einheimische standortgerechte Einzelbäume und Alleen;;14
2023;4441;Salmsach;0926;andere Bäume;;18
2023;4446;Sommeri;0548;Buchweizen;152.66;
2023;4446;Sommeri;0569;Mischungen von Bohnen, Wicken, Erbsen, Kichererbsen und Lupinen mit Getreide oder Leindotter, mindestens 30 % Anteil Leguminosen bei der Ernte (zur Körnergewinnung);143.82;
2023;4446;Sommeri;0572;Nützlingsstreifen einjährig;12.88;
2023;4446;Sommeri;0601;Kunstwiesen (ohne Weiden);3622.73;
2023;4446;Sommeri;0612;Wenig intensiv gen. Wiesen (ohne Weiden);47.03;
2023;4446;Sommeri;0616;Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden);45.89;
2023;4446;Sommeri;0703;Obstanlagen (Birnen);39.48;
2023;4446;Sommeri;0705;Mehrjährige Beeren;9.76;
2023;4446;Sommeri;0712;Christbäume;137.6;
2023;4446;Sommeri;0802;Übrige Spezialkulturen in Gewächshäusern mit festem Fundament;24.85;
2023;4446;Sommeri;0923;Edelkastanienbäume;;3
2023;4446;Sommeri;0924;Einheimische standortgerechte Einzelbäume und Alleen;;6
2023;4451;Uttwil;0513;Winterweizen (ohne Futterweizen der Sortenliste swiss granum);331.62;
2023;4451;Uttwil;0521;Silo- und Grünmais;2093.51;
2023;4451;Uttwil;0551;Einjährige Beeren (z.B. Erdbeeren);959.49;
2023;4451;Uttwil;0611;Extensiv genutzte Wiesen (ohne Weiden);1087.36;
2023;4451;Uttwil;0698;Übrige Grünfläche (Dauergrünfläche), nicht beitragsberechtigt;111.22;
2023;4451;Uttwil;0702;Obstanlagen (Äpfel);2291.48;
2023;4451;Uttwil;0723;Baumschule von Obst und Beeren;26.47;
2023;4451;Uttwil;0811;"Gemüsekulturen in geschütztem Anbau ohne festes Fundament; im gewachsenen Boden";45.43;
2023;4451;Uttwil;0851;Streueflächen innerhalb der LN;21.48;
2023;4451;Uttwil;0852;Hecken-, Feld- und Ufergehölze (mit Krautsaum);3.26;
2023;4451;Uttwil;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);19.34;
2023;4451;Uttwil;0921;Hochstammfeldobstbäume;;958
2023;4461;Amriswil;0502;Wintergerste;3086.29;
2023;4461;Amriswil;0508;Körnermais;2584.45;
2023;4461;Amriswil;0521;Silo- und Grünmais;9222.22;
2023;4461;Amriswil;0522;Zuckerrüben;585.79;
2023;4461;Amriswil;0527;Winterraps zur Speiseölgewinnung;1091.03;
2023;4461;Amriswil;0528;Soja;86.71;
2023;4461;Amriswil;0611;Extensiv genutzte Wiesen (ohne Weiden);8581.11;
2023;4461;Amriswil;0616;Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden);2630.17;
2023;4461;Amriswil;0632;Futtergräser für die Samenproduktion (Vertragsanbau);290.36;
2023;4461;Amriswil;0635;Uferwiese (ohne Weiden);38.13;
2023;4461;Amriswil;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;11.77;
2023;4461;Amriswil;0731;Andere Obstanlagen (Kiwi, Holunder, usw.);147.5;
2023;4461;Amriswil;0811;"Gemüsekulturen in geschütztem Anbau ohne festes Fundament; im gewachsenen Boden";3.25;
2023;4461;Amriswil;0852;Hecken-, Feld- und Ufergehölze (mit Krautsaum);575.15;
2023;4461;Amriswil;0922;Nussbäume;;288
2023;4461;Amriswil;0923;Edelkastanienbäume;;9
2023;4461;Amriswil;0925;Markante Einzelbäume;;7
2023;4471;Bischofszell;0502;Wintergerste;741.58;
2023;4471;Bischofszell;0505;Triticale;106.73;
2023;4471;Bischofszell;0513;Winterweizen (ohne Futterweizen der Sortenliste swiss granum);1618.51;
2023;4471;Bischofszell;0516;Dinkel;897.36;
2023;4471;Bischofszell;0521;Silo- und Grünmais;7118.23;
2023;4471;Bischofszell;0528;Soja;324.82;
2023;4471;Bischofszell;0616;Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden);2358.08;
2023;4471;Bischofszell;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;8.39;
2023;4471;Bischofszell;0703;Obstanlagen (Birnen);11.26;
2023;4471;Bischofszell;0704;Obstanlagen (Steinobst);106.73;
2023;4471;Bischofszell;0852;Hecken-, Feld- und Ufergehölze (mit Krautsaum);119.06;
2023;4471;Bischofszell;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);7.78;
2023;4471;Bischofszell;0925;Markante Einzelbäume;;1
2023;4476;Erlen;0502;Wintergerste;2488.59;
2023;4476;Erlen;0521;Silo- und Grünmais;5955.76;
2023;4476;Erlen;0528;Soja;147.21;
2023;4476;Erlen;0539;Oelkürbisse;172.69;
2023;4476;Erlen;0556;Buntbrache;28.79;
2023;4476;Erlen;0616;Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden);1326.6;
2023;4476;Erlen;0635;Uferwiese (ohne Weiden);10.18;
2023;4476;Erlen;0702;Obstanlagen (Äpfel);7846.22;
2023;4476;Erlen;0703;Obstanlagen (Birnen);1062.7;
2023;4476;Erlen;0712;Christbäume;11.72;
2023;4476;Erlen;0851;Streueflächen innerhalb der LN;4.36;
2023;4476;Erlen;0897;Übrige Flächen innerhalb der LN, beitragsberechtigt;4.31;
2023;4476;Erlen;0921;Hochstammfeldobstbäume;;6551
2023;4476;Erlen;0923;Edelkastanienbäume;;108
2023;4486;Hauptwil-Gottshaus;0504;Hafer;100.07;
2023;4486;Hauptwil-Gottshaus;0507;Futterweizen gemäss Sortenlist swiss granum;74.06;
2023;4486;Hauptwil-Gottshaus;0508;Körnermais;655.23;
2023;4486;Hauptwil-Gottshaus;0512;Sommerweizen (ohne Futterweizen der Sortenliste swiss granum);97.54;
2023;4486;Hauptwil-Gottshaus;0513;Winterweizen (ohne Futterweizen der Sortenliste swiss granum);3427.35;
2023;4486;Hauptwil-Gottshaus;0522;Zuckerrüben;1512.81;
2023;4486;Hauptwil-Gottshaus;0554;Einjährige gärtnerische Freilandkulturen (Blumen, Rollrasen, usw.);12.43;
2023;4486;Hauptwil-Gottshaus;0569;Mischungen von Bohnen, Wicken, Erbsen, Kichererbsen und Lupinen mit Getreide oder Leindotter, mindestens 30 % Anteil Leguminosen bei der Ernte (zur Körnergewinnung);175.1;
2023;4486;Hauptwil-Gottshaus;0704;Obstanlagen (Steinobst);23.4;
2023;4486;Hauptwil-Gottshaus;0705;Mehrjährige Beeren;126.54;
2023;4486;Hauptwil-Gottshaus;0713;Baumschule von Forstpflanzen ausserhalb der Forstzone;13.97;
2023;4486;Hauptwil-Gottshaus;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;143.44;
2023;4495;Hohentannen;0507;Futterweizen gemäss Sortenlist swiss granum;182.21;
2023;4495;Hohentannen;0523;Futterrüben;27.93;
2023;4495;Hohentannen;0557;Rotationsbrache;61.84;
2023;4495;Hohentannen;0613;Übrige Dauerwiesen (ohne Weiden);31957.8;
2023;4495;Hohentannen;0617;Extensiv genutzte Weiden;290.94;
2023;4495;Hohentannen;0621;Heuwiesen im Sömmerungsgebiet , Übrige Wiesen (keine BFF);221.4;
2023;4495;Hohentannen;0698;Übrige Grünfläche (Dauergrünfläche), nicht beitragsberechtigt;604.57;
2023;4495;Hohentannen;0731;Andere Obstanlagen (Kiwi, Holunder, usw.);130.94;
2023;4495;Hohentannen;0851;Streueflächen innerhalb der LN;33.39;
2023;4501;Kradolf-Schönenberg;0501;Sommergerste;29.99;
2023;4501;Kradolf-Schönenberg;0521;Silo- und Grünmais;5096.65;
2023;4501;Kradolf-Schönenberg;0522;Zuckerrüben;1748.34;
2023;4501;Kradolf-Schönenberg;0545;Einjährige Freilandgemüse, ohne Konservengemüse;1506.96;
2023;4501;Kradolf-Schönenberg;0597;Übrige offene Ackerfläche, beitragsberechtigt;22.93;
2023;4501;Kradolf-Schönenberg;0612;Wenig intensiv gen. Wiesen (ohne Weiden);278.3;
2023;4501;Kradolf-Schönenberg;0613;Übrige Dauerwiesen (ohne Weiden);32952.4;
2023;4501;Kradolf-Schönenberg;0616;Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden);2043.2;
2023;4501;Kradolf-Schönenberg;0632;Futtergräser für die Samenproduktion (Vertragsanbau);500.85;
2023;4501;Kradolf-Schönenberg;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;1.1;
2023;4501;Kradolf-Schönenberg;0703;Obstanlagen (Birnen);2.63;
2023;4501;Kradolf-Schönenberg;0921;Hochstammfeldobstbäume;;3685
2023;4506;Sulgen;0507;Futterweizen gemäss Sortenlist swiss granum;789.26;
2023;4506;Sulgen;0508;Körnermais;1708.48;
2023;4506;Sulgen;0522;Zuckerrüben;1756.46;
2023;4506;Sulgen;0523;Futterrüben;133.71;
2023;4506;Sulgen;0527;Winterraps zur Speiseölgewinnung;1285.78;
2023;4506;Sulgen;0547;Wurzeln der Treibzichorie;301.15;
2023;4506;Sulgen;0556;Buntbrache;1035.02;
2023;4506;Sulgen;0601;Kunstwiesen (ohne Weiden);6040.27;
2023;4506;Sulgen;0611;Extensiv genutzte Wiesen (ohne Weiden);2868.12;
2023;4506;Sulgen;0612;Wenig intensiv gen. Wiesen (ohne Weiden);644.31;
2023;4506;Sulgen;0613;Übrige Dauerwiesen (ohne Weiden);21035.89;
2023;4506;Sulgen;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;254.36;
2023;4506;Sulgen;0704;Obstanlagen (Steinobst);130.06;
2023;4506;Sulgen;0705;Mehrjährige Beeren;1.08;
2023;4506;Sulgen;0709;Rhabarber;9.89;
2023;4506;Sulgen;0714;Ziersträucher, Ziergehölze,  und Zierstauden;1275.68;
2023;4506;Sulgen;0725;Permakultur (kleinräumige Misschung verschiedener Kulturen mit mehr als 50% Spezialkulturen);164.15;
2023;4506;Sulgen;0811;"Gemüsekulturen in geschütztem Anbau ohne festes Fundament; im gewachsenen Boden";4.46;
2023;4506;Sulgen;0851;Streueflächen innerhalb der LN;9.03;
2023;4506;Sulgen;0922;Nussbäume;;114
2023;4511;Zihlschlacht-Sitterdorf;0508;Körnermais;401.41;
2023;4511;Zihlschlacht-Sitterdorf;0513;Winterweizen (ohne Futterweizen der Sortenliste swiss granum);5368.46;
2023;4511;Zihlschlacht-Sitterdorf;0524;Kartoffeln;750.06;
2023;4511;Zihlschlacht-Sitterdorf;0531;Sonnenblumen zur Speiseölgewinnung;116.02;
2023;4511;Zihlschlacht-Sitterdorf;0569;Mischungen von Bohnen, Wicken, Erbsen, Kichererbsen und Lupinen mit Getreide oder Leindotter, mindestens 30 % Anteil Leguminosen bei der Ernte (zur Körnergewinnung);116.71;
2023;4511;Zihlschlacht-Sitterdorf;0572;Nützlingsstreifen einjährig;10.23;
2023;4511;Zihlschlacht-Sitterdorf;0602;Übrige Kunstwiese, beitragsberechtigt (z.B. Schweineweide, Geflügelweide);104.02;
2023;4511;Zihlschlacht-Sitterdorf;0611;Extensiv genutzte Wiesen (ohne Weiden);5037.62;
2023;4511;Zihlschlacht-Sitterdorf;0613;Übrige Dauerwiesen (ohne Weiden);43704.49;
2023;4511;Zihlschlacht-Sitterdorf;0698;Übrige Grünfläche (Dauergrünfläche), nicht beitragsberechtigt;20.87;
2023;4511;Zihlschlacht-Sitterdorf;0703;Obstanlagen (Birnen);131.15;
2023;4511;Zihlschlacht-Sitterdorf;0712;Christbäume;158.91;
2023;4511;Zihlschlacht-Sitterdorf;0811;"Gemüsekulturen in geschütztem Anbau ohne festes Fundament; im gewachsenen Boden";1.58;
2023;4511;Zihlschlacht-Sitterdorf;0851;Streueflächen innerhalb der LN;53.59;
2023;4511;Zihlschlacht-Sitterdorf;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);32.14;
2023;4511;Zihlschlacht-Sitterdorf;0921;Hochstammfeldobstbäume;;4484
2023;4511;Zihlschlacht-Sitterdorf;0923;Edelkastanienbäume;;13
2023;4511;Zihlschlacht-Sitterdorf;0924;Einheimische standortgerechte Einzelbäume und Alleen;;183
2023;4511;Zihlschlacht-Sitterdorf;0925;Markante Einzelbäume;;7
2023;4536;Basadingen-Schlattingen;0505;Triticale;408.53;
2023;4536;Basadingen-Schlattingen;0510;Hartweizen;485.9;
2023;4536;Basadingen-Schlattingen;0511;Emmer, Einkorn;1028.11;
2023;4536;Basadingen-Schlattingen;0512;Sommerweizen (ohne Futterweizen der Sortenliste swiss granum);593.09;
2023;4536;Basadingen-Schlattingen;0513;Winterweizen (ohne Futterweizen der Sortenliste swiss granum);12542.16;
2023;4536;Basadingen-Schlattingen;0516;Dinkel;1233.85;
2023;4536;Basadingen-Schlattingen;0522;Zuckerrüben;8665.49;
2023;4536;Basadingen-Schlattingen;0525;Pflanzkartoffeln (Vertragsanbau);295.26;
2023;4536;Basadingen-Schlattingen;0527;Winterraps zur Speiseölgewinnung;4760.43;
2023;4536;Basadingen-Schlattingen;0531;Sonnenblumen zur Speiseölgewinnung;2031.8;
2023;4536;Basadingen-Schlattingen;0537;Erbsen zur Körnergewinnung (z.B. Eiweisserbsen);103.39;
2023;4536;Basadingen-Schlattingen;0546;Freiland-Konservengemüse;1500.68;
2023;4536;Basadingen-Schlattingen;0569;Mischungen von Bohnen, Wicken, Erbsen, Kichererbsen und Lupinen mit Getreide oder Leindotter, mindestens 30 % Anteil Leguminosen bei der Ernte (zur Körnergewinnung);123.89;
2023;4536;Basadingen-Schlattingen;0601;Kunstwiesen (ohne Weiden);8016.23;
2023;4536;Basadingen-Schlattingen;0709;Rhabarber;7.92;
2023;4536;Basadingen-Schlattingen;0710;Spargel;237.65;
2023;4536;Basadingen-Schlattingen;0797;Übrige Flächen mit Dauerkulturen, beitragsberechtigt;3.01;
2023;4536;Basadingen-Schlattingen;0801;Gemüsekulturen in Gewächshäusern mit festem Fundament;1062.28;
2023;4536;Basadingen-Schlattingen;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;555.6;
2023;4536;Basadingen-Schlattingen;0921;Hochstammfeldobstbäume;;605
2023;4536;Basadingen-Schlattingen;0926;andere Bäume;;21
2023;4545;Diessenhofen;0502;Wintergerste;737.57;
2023;4545;Diessenhofen;0508;Körnermais;1457.27;
2023;4545;Diessenhofen;0516;Dinkel;932.86;
2023;4545;Diessenhofen;0521;Silo- und Grünmais;1610.52;
2023;4545;Diessenhofen;0528;Soja;1480.79;
2023;4545;Diessenhofen;0547;Wurzeln der Treibzichorie;263.64;
2023;4545;Diessenhofen;0551;Einjährige Beeren (z.B. Erdbeeren);25.63;
2023;4545;Diessenhofen;0556;Buntbrache;868.66;
2023;4545;Diessenhofen;0578;Hirse zur Körnergewinnung;294.62;
2023;4545;Diessenhofen;0616;Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden);1872.74;
2023;4545;Diessenhofen;0701;Reben;47.58;
2023;4545;Diessenhofen;0705;Mehrjährige Beeren;23.13;
2023;4545;Diessenhofen;0712;Christbäume;40.41;
2023;4545;Diessenhofen;0852;Hecken-, Feld- und Ufergehölze (mit Krautsaum);236.09;
2023;4545;Diessenhofen;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);27.91;
2023;4546;Schlatt (TG);0505;Triticale;182.71;
2023;4546;Schlatt (TG);0511;Emmer, Einkorn;139.02;
2023;4546;Schlatt (TG);0521;Silo- und Grünmais;4794.69;
2023;4546;Schlatt (TG);0524;Kartoffeln;4569.7;
2023;4546;Schlatt (TG);0546;Freiland-Konservengemüse;974.54;
2023;4546;Schlatt (TG);0551;Einjährige Beeren (z.B. Erdbeeren);69.68;
2023;4546;Schlatt (TG);0553;Einjährige Gewürz- und Medizinalpflanzen;2.37;
2023;4546;Schlatt (TG);0554;Einjährige gärtnerische Freilandkulturen (Blumen, Rollrasen, usw.);15.03;
2023;4546;Schlatt (TG);0698;Übrige Grünfläche (Dauergrünfläche), nicht beitragsberechtigt;82.23;
2023;4546;Schlatt (TG);0705;Mehrjährige Beeren;104.89;
2023;4546;Schlatt (TG);0709;Rhabarber;114.34;
2023;4546;Schlatt (TG);0811;"Gemüsekulturen in geschütztem Anbau ohne festes Fundament; im gewachsenen Boden";12.35;
2023;4546;Schlatt (TG);0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);22.42;
2023;4551;Aadorf;0505;Triticale;331.08;
2023;4551;Aadorf;0507;Futterweizen gemäss Sortenlist swiss granum;1380.96;
2023;4551;Aadorf;0513;Winterweizen (ohne Futterweizen der Sortenliste swiss granum);9670.49;
2023;4551;Aadorf;0515;Mischel Brotgetreide;13.11;
2023;4551;Aadorf;0524;Kartoffeln;108.37;
2023;4551;Aadorf;0531;Sonnenblumen zur Speiseölgewinnung;1257.09;
2023;4551;Aadorf;0534;Lein;55.75;
2023;4551;Aadorf;0545;Einjährige Freilandgemüse, ohne Konservengemüse;301.3;
2023;4551;Aadorf;0546;Freiland-Konservengemüse;570.84;
2023;4551;Aadorf;0547;Wurzeln der Treibzichorie;275.43;
2023;4551;Aadorf;0557;Rotationsbrache;322.65;
2023;4551;Aadorf;0635;Uferwiese (ohne Weiden);22.62;
2023;4551;Aadorf;0698;Übrige Grünfläche (Dauergrünfläche), nicht beitragsberechtigt;144.07;
2023;4551;Aadorf;0851;Streueflächen innerhalb der LN;27.37;
2023;4551;Aadorf;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);63.57;
2023;4551;Aadorf;0922;Nussbäume;;104
2023;4551;Aadorf;0925;Markante Einzelbäume;;6
2023;4561;Felben-Wellhausen;0502;Wintergerste;2203.28;
2023;4561;Felben-Wellhausen;0516;Dinkel;333.54;
2023;4561;Felben-Wellhausen;0546;Freiland-Konservengemüse;279.97;
2023;4561;Felben-Wellhausen;0557;Rotationsbrache;10.23;
2023;4561;Felben-Wellhausen;0611;Extensiv genutzte Wiesen (ohne Weiden);1841.05;
2023;4561;Felben-Wellhausen;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;129.3;
2023;4561;Felben-Wellhausen;0702;Obstanlagen (Äpfel);400.38;
2023;4561;Felben-Wellhausen;0704;Obstanlagen (Steinobst);273.1;
2023;4561;Felben-Wellhausen;0723;Baumschule von Obst und Beeren;130.09;
2023;4561;Felben-Wellhausen;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;205.84;
2023;4561;Felben-Wellhausen;0922;Nussbäume;;63
2023;4566;Frauenfeld;0524;Kartoffeln;4346.81;
2023;4566;Frauenfeld;0528;Soja;322.74;
2023;4566;Frauenfeld;0531;Sonnenblumen zur Speiseölgewinnung;1184.81;
2023;4566;Frauenfeld;0551;Einjährige Beeren (z.B. Erdbeeren);366.64;
2023;4566;Frauenfeld;0556;Buntbrache;201.57;
2023;4566;Frauenfeld;0581;Sorghum zur Nutzung ganze Pflanze;156.02;
2023;4566;Frauenfeld;0598;Übrige offene Ackerfläche, nicht beitragsberechtigt;36.61;
2023;4566;Frauenfeld;0613;Übrige Dauerwiesen (ohne Weiden);25840.13;
2023;4566;Frauenfeld;0617;Extensiv genutzte Weiden;1435.18;
2023;4566;Frauenfeld;0698;Übrige Grünfläche (Dauergrünfläche), nicht beitragsberechtigt;100.86;
2023;4566;Frauenfeld;0704;Obstanlagen (Steinobst);36.84;
2023;4566;Frauenfeld;0709;Rhabarber;173.11;
2023;4566;Frauenfeld;0710;Spargel;36.83;
