jahr;bfs_nr_gemeinde;gemeindename;kultur_code;kultur_bezeichnung;landw_nutzflaeche_in_aren;anzahl_baeume
2024;4431;Roggwil (TG);0998;Übrige Flächen ausserhalb der LN;;
2023;4611;Thundorf;0539;Oelkürbisse;3.63;
2024;4436;Romanshorn;0502;Wintergerste;1048.01;
2023;4611;Thundorf;0545;Einjährige Freilandgemüse, ohne Konservengemüse;802.33;
2024;4436;Romanshorn;0513;Winterweizen (ohne Futterweizen der Sortenliste swiss granum);1079.51;
2023;4611;Thundorf;0547;Wurzeln der Treibzichorie;437.41;
2024;4436;Romanshorn;0522;Zuckerrüben;236.18;
2023;4611;Thundorf;0578;Hirse zur Körnergewinnung;475.47;
2024;4436;Romanshorn;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;46.7;
2023;4611;Thundorf;0602;Übrige Kunstwiese, beitragsberechtigt (z.B. Schweineweide, Geflügelweide);351.41;
2024;4436;Romanshorn;0724;Übrige Baumschulen (Rosen, Zierstauden, usw.);177.3;
2023;4611;Thundorf;0612;Wenig intensiv gen. Wiesen (ohne Weiden);241.98;
2024;4436;Romanshorn;0801;Gemüsekulturen in Gewächshäusern mit festem Fundament;142.67;
2023;4611;Thundorf;0705;Mehrjährige Beeren;1.9;
2024;4436;Romanshorn;0904;Wassergräben, Tümpel, Teiche;;
2023;4611;Thundorf;0712;Christbäume;4.29;
2024;4441;Salmsach;0521;Silo- und Grünmais;1748.67;
2023;4611;Thundorf;0725;Permakultur (kleinräumige Misschung verschiedener Kulturen mit mehr als 50% Spezialkulturen);0.95;
2024;4441;Salmsach;0527;Winterraps zur Speiseölgewinnung;119.86;
2023;4611;Thundorf;0851;Streueflächen innerhalb der LN;152.65;
2024;4441;Salmsach;0531;Sonnenblumen zur Speiseölgewinnung;119.91;
2023;4611;Thundorf;0921;Hochstammfeldobstbäume;;3724
2024;4441;Salmsach;0545;Einjährige Freilandgemüse, ohne Konservengemüse;1493.38;
2023;4616;Uesslingen-Buch;0502;Wintergerste;4162.53;
2024;4441;Salmsach;0612;Wenig intensiv gen. Wiesen (ohne Weiden);161.96;
2023;4616;Uesslingen-Buch;0505;Triticale;228.92;
