jahr;standortgemeinde;code;hauptkategorie;kategorie;durchschnittsbestand_stueck;durchschnittsbestand_grossvieheinheiten
2023;Aadorf;1110;Rindergattung und Wasserbüffel;Milchkühe;762.7996999999999;762.7996999999999
2023;Aadorf;1123;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 730 Tage;31.0904;18.654200000000003
2023;Aadorf;1142;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere bis 160 Tage alt;117.64660000000002;15.294300000000002
2023;Aadorf;1144;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere bis 160 Tage alt;74.452;9.678700000000001
2023;Aadorf;1150;Rindergattung und Wasserbüffel;Andere Kühe;44.5561;44.5561
2023;Aadorf;1223;Pferdegattung;Equiden, Hengste über 900 Tage, ab 148 cm;12.4959;8.7471
2023;Aadorf;1263;Pferdegattung;Equiden, Hengste über 900 Tage, bis 148 cm;11.0959;3.8836000000000004
2023;Aadorf;1352;Schafgattung;Andere Schafe über 365 Tage alt, weiblich;585.811;99.5878
2023;Aadorf;1354;Schafgattung;Andere Schafe über 365 Tage alt, männlich;49.1589;8.357000000000001
2023;Aadorf;1356;Schafgattung;Jungschafe über 180 Tage bis 365 Tage alt;582.9972;34.9799
2023;Aadorf;1464;Ziegengattung;Andere Ziegen über 365 Tage alt, männlich;7.926;1.3474
2023;Aadorf;1585;Andere Raufutter verzehrende Nutztiere;Alpakas über 2-jährig;11.0;1.21
2023;Aadorf;1615;Schweinegattung;Nicht säugende Zuchtsauen über 6 Monate alt;41.0;10.66
2023;Aadorf;1753;Nutzgeflügel;Konsumeier produzierende Hennen;1523.0;15.229999999999999
2023;Aadorf;1863;Kaninchen;Andere Kaninchen;14.0;0.0
2023;Aadorf;1871;Übriges Geflügel;Enten (ohne Zierenten);8.0;0.064
2023;Aadorf;1882;Bienenstände/Bienenvölker;Bienenvölker;276.0;0.0
2023;Aadorf;1884;Andere Tiere;Pelztiere aller Art (Nerz);4.0;0.0
2023;Aadorf;1890;Übriges Geflügel;übriges Geflügel (Rebhühner, Pfauen, Fasane, usw.);7.0;0.0
2023;Affeltrangen;1128;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 365 bis 730 Tage;144.63280000000003;57.85319999999998
2023;Affeltrangen;1141;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 160 bis 365 Tage;111.49030000000002;36.792
2023;Affeltrangen;1144;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere bis 160 Tage alt;316.0551;41.087300000000006
2023;Affeltrangen;1150;Rindergattung und Wasserbüffel;Andere Kühe;78.27399999999999;78.27399999999999
2023;Affeltrangen;1222;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage ab 148 cm;77.3918;54.17409999999999
2023;Affeltrangen;1356;Schafgattung;Jungschafe über 180 Tage bis 365 Tage alt;39.777899999999995;2.3867000000000003
2023;Affeltrangen;1358;Schafgattung;Lämmer bis 180 Tage alt;76.27950000000001;2.2883
2023;Affeltrangen;1468;Ziegengattung;Zicklein bis 180 Tage alt;3.811;0.1143
2023;Affeltrangen;1575;Andere Raufutter verzehrende Nutztiere;Damhirsche jeden Alters;115.0;11.5
2023;Affeltrangen;1621;Schweinegattung;Zuchteber;4.0;1.0
2023;Affeltrangen;1861;Kaninchen;Produzierende Zibben;15.0;0.51
2023;Affeltrangen;1863;Kaninchen;Andere Kaninchen;24.0;0.0
2023;Affeltrangen;1882;Bienenstände/Bienenvölker;Bienenvölker;191.0;0.0
2023;Altnau;1141;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 160 bis 365 Tage;16.7644;5.5321
2023;Altnau;1354;Schafgattung;Andere Schafe über 365 Tage alt, männlich;17.169800000000002;2.9188
2023;Altnau;1462;Ziegengattung;Andere Ziegen über 365 Tage alt, weiblich;10.5398;1.7916999999999998
2023;Altnau;1466;Ziegengattung;Jungziegen über 180 Tage bis 365 Tage alt;0.5068;0.0304
2023;Altnau;1611;Schweinegattung;Säugende Zuchtsauen;39.0;21.45
2023;Altnau;1615;Schweinegattung;Nicht säugende Zuchtsauen über 6 Monate alt;4.0;1.04
2023;Altnau;1631;Schweinegattung;Abgesetzte Ferkel;593.0;35.58
2023;Altnau;1639;Schweinegattung;Mastschweine und Remonten bis 6 Monate alt;34.0;5.779999999999999
2023;Altnau;1754;Nutzgeflügel;Bruteier produzierende Hennen und Hähne (Legelinien);1.0;0.01
2023;Altnau;1882;Bienenstände/Bienenvölker;Bienenvölker;110.0;0.0
2023;Amlikon-Bissegg;1144;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere bis 160 Tage alt;184.9123;24.038600000000002
2023;Amlikon-Bissegg;1263;Pferdegattung;Equiden, Hengste über 900 Tage, bis 148 cm;11.526;4.0342
2023;Amlikon-Bissegg;1265;Pferdegattung;Equiden, Fohlen bis 180 Tage, bis 148 cm;0.5014;0.0752
2023;Amlikon-Bissegg;1358;Schafgattung;Lämmer bis 180 Tage alt;93.59989999999999;2.808
2023;Amlikon-Bissegg;1466;Ziegengattung;Jungziegen über 180 Tage bis 365 Tage alt;1.422;0.0853
2023;Amlikon-Bissegg;1639;Schweinegattung;Mastschweine und Remonten bis 6 Monate alt;3867.0;657.3900000000001
2023;Amlikon-Bissegg;1757;Nutzgeflügel;Mastpoulets jeden Alters;17157.0;68.628
2023;Amlikon-Bissegg;1862;Kaninchen;Jungtiere (Mast bzw. Aufzucht);6.0;0.066
2023;Amlikon-Bissegg;1882;Bienenstände/Bienenvölker;Bienenvölker;129.0;0.0
2023;Amlikon-Bissegg;1887;Übriges Geflügel;Perlhühner;8.0;0.032
2023;Amlikon-Bissegg;1903;Hobbytierhaltung (Liebhabertiere);Mini-Pigs;4.0;0.0
2023;Amriswil;1110;Rindergattung und Wasserbüffel;Milchkühe;1297.2413999999999;1297.2413999999999
2023;Amriswil;1123;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 730 Tage;60.074100000000016;36.0444
2023;Amriswil;1124;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere über 730 Tage;10.725999999999999;6.435499999999999
2023;Amriswil;1142;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere bis 160 Tage alt;256.44659999999993;33.3378
2023;Amriswil;1144;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere bis 160 Tage alt;115.16159999999999;14.970899999999995
2023;Amriswil;1222;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage ab 148 cm;47.2192;33.0535
2023;Amriswil;1264;Pferdegattung;Equiden, Jungtiere über 180 Tage bis 900 Tage, bis 148 cm;7.3288;1.8322
2023;Amriswil;1265;Pferdegattung;Equiden, Fohlen bis 180 Tage, bis 148 cm;0.4932;0.074
2023;Amriswil;1351;Schafgattung;Milchschafe;3.0;0.75
2023;Amriswil;1352;Schafgattung;Andere Schafe über 365 Tage alt, weiblich;79.4028;13.4983
2023;Amriswil;1354;Schafgattung;Andere Schafe über 365 Tage alt, männlich;10.819200000000002;1.8392000000000002
2023;Amriswil;1462;Ziegengattung;Andere Ziegen über 365 Tage alt, weiblich;69.45489999999998;11.8074
2023;Amriswil;1466;Ziegengattung;Jungziegen über 180 Tage bis 365 Tage alt;8.9206;0.5353
2023;Amriswil;1615;Schweinegattung;Nicht säugende Zuchtsauen über 6 Monate alt;335.0;87.1
2023;Amriswil;1621;Schweinegattung;Zuchteber;5.0;1.25
2023;Amriswil;1635;Schweinegattung;Saugferkel (im Faktor des weiblichen Tieres eingerechnet);745.0;0.0
2023;Amriswil;1751;Nutzgeflügel;Bruteier produzierende Hennen und Hähne (Mastlinien);5.0;0.05
2023;Amriswil;1753;Nutzgeflügel;Konsumeier produzierende Hennen;1850.0;18.499999999999993
2023;Amriswil;1755;Nutzgeflügel;Junghennen, Junghähne und Kücken für die Eierproduktion;70.0;0.28
2023;Amriswil;1757;Nutzgeflügel;Mastpoulets jeden Alters;29472.0;117.888
2023;Amriswil;1761;Nutzgeflügel;Truten jeden Alters;0.0;0.0
2023;Amriswil;1862;Kaninchen;Jungtiere (Mast bzw. Aufzucht);5.0;0.055
2023;Amriswil;1876;Übriges Geflügel;Wachteln;50.0;0.19999999999999998
2023;Amriswil;1890;Übriges Geflügel;übriges Geflügel (Rebhühner, Pfauen, Fasane, usw.);5.0;0.0
2023;Amriswil;1901;Hobbytierhaltung (Liebhabertiere);Zwergziegen zu Nicht-Erwerbszwecken;13.0;0.0
2023;Amriswil;1902;Hobbytierhaltung (Liebhabertiere);Wollschweine;15.0;0.0
2023;Amriswil;1903;Hobbytierhaltung (Liebhabertiere);Mini-Pigs;23.0;0.0
2023;Amriswil;1904;Hobbytierhaltung (Liebhabertiere);Zierenten;5.0;0.0
2023;Arbon;1123;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 730 Tage;11.301400000000001;6.7808
2023;Arbon;1468;Ziegengattung;Zicklein bis 180 Tage alt;0.4932;0.0148
2023;Arbon;1754;Nutzgeflügel;Bruteier produzierende Hennen und Hähne (Legelinien);5.0;0.05
2023;Arbon;1861;Kaninchen;Produzierende Zibben;1.0;0.034
2023;Arbon;1871;Übriges Geflügel;Enten (ohne Zierenten);1.0;0.008
2023;Arbon;1887;Übriges Geflügel;Perlhühner;2.0;0.008
2023;Arbon;1903;Hobbytierhaltung (Liebhabertiere);Mini-Pigs;1.0;0.0
2023;Avegno Gordevio;1129;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere über 365 bis 730 Tage;70.03020000000001;28.012
2023;Avegno Gordevio;1142;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere bis 160 Tage alt;14.657499999999999;1.9054
2023;Avegno Gordevio;1144;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere bis 160 Tage alt;14.3671;1.8677
2023;Avegno Gordevio;1150;Rindergattung und Wasserbüffel;Andere Kühe;191.9617;191.9617
2023;Basadingen-Schlattingen;1143;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere über 160 bis 365 Tage alt;55.2;18.216
2023;Basadingen-Schlattingen;1150;Rindergattung und Wasserbüffel;Andere Kühe;49.096000000000004;49.096000000000004
2023;Basadingen-Schlattingen;1223;Pferdegattung;Equiden, Hengste über 900 Tage, ab 148 cm;3.3041;2.3129
2023;Basadingen-Schlattingen;1262;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage bis 148 cm;23.052;8.068200000000001
2023;Basadingen-Schlattingen;1263;Pferdegattung;Equiden, Hengste über 900 Tage, bis 148 cm;3.0;1.0499999999999998
2023;Basadingen-Schlattingen;1352;Schafgattung;Andere Schafe über 365 Tage alt, weiblich;25.528800000000004;4.3398
2023;Basadingen-Schlattingen;1358;Schafgattung;Lämmer bis 180 Tage alt;1.7507;0.0525
2023;Basadingen-Schlattingen;1464;Ziegengattung;Andere Ziegen über 365 Tage alt, männlich;1.0;0.17
2023;Basadingen-Schlattingen;1611;Schweinegattung;Säugende Zuchtsauen;15.0;8.25
2023;Basadingen-Schlattingen;1615;Schweinegattung;Nicht säugende Zuchtsauen über 6 Monate alt;3.0;0.78
2023;Basadingen-Schlattingen;1890;Übriges Geflügel;übriges Geflügel (Rebhühner, Pfauen, Fasane, usw.);23.0;0.0
2023;Basadingen-Schlattingen;1903;Hobbytierhaltung (Liebhabertiere);Mini-Pigs;0.0;0.0
2023;Bellinzona;1128;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 365 bis 730 Tage;0.7233;0.2893
2023;Bellinzona;1141;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 160 bis 365 Tage;0.1644;0.0542
2023;Bellinzona;1142;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere bis 160 Tage alt;0.0603;0.0078
2023;Berg (SG);1882;Bienenstände/Bienenvölker;Bienenvölker;23.0;0.0
2023;Berg (TG);1110;Rindergattung und Wasserbüffel;Milchkühe;507.2765;507.2765
2023;Berg (TG);1128;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 365 bis 730 Tage;91.8686;36.747499999999995
2023;Berg (TG);1129;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere über 365 bis 730 Tage;3.8493999999999997;1.5398
2023;Berg (TG);1141;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 160 bis 365 Tage;72.0576;23.779000000000003
2023;Berg (TG);1222;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage ab 148 cm;30.6055;21.423799999999993
2023;Berg (TG);1262;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage bis 148 cm;26.4356;9.2524
2023;Berg (TG);1264;Pferdegattung;Equiden, Jungtiere über 180 Tage bis 900 Tage, bis 148 cm;1.0274;0.2569
2023;Berg (TG);1462;Ziegengattung;Andere Ziegen über 365 Tage alt, weiblich;16.4329;2.7935
2023;Berg (TG);1466;Ziegengattung;Jungziegen über 180 Tage bis 365 Tage alt;4.5616;0.2737
2023;Berg (TG);1586;Andere Raufutter verzehrende Nutztiere;Alpakas unter 2-jährig;2.0;0.14
2023;Berg (TG);1639;Schweinegattung;Mastschweine und Remonten bis 6 Monate alt;2270.0;385.9
2023;Berg (TG);1753;Nutzgeflügel;Konsumeier produzierende Hennen;301.0;3.0099999999999993
2023;Berg (TG);1754;Nutzgeflügel;Bruteier produzierende Hennen und Hähne (Legelinien);21.0;0.21000000000000002
2023;Berg (TG);1861;Kaninchen;Produzierende Zibben;5.0;0.16999999999999998
2023;Berg (TG);1871;Übriges Geflügel;Enten (ohne Zierenten);88.0;0.7040000000000001
2023;Berg (TG);1876;Übriges Geflügel;Wachteln;5.0;0.02
2023;Berg (TG);1883;Andere Tiere;Hundezucht;1.0;0.0
2023;Berg (TG);1971;Hobbytierhaltung (Liebhabertiere);Andere Tiere;2.0;0.0
2023;Berlingen;1123;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 730 Tage;0.0603;0.0362
2023;Berlingen;1128;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 365 bis 730 Tage;6.4137;2.5655
2023;Berlingen;1222;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage ab 148 cm;2.6219;1.8353
2023;Berlingen;1262;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage bis 148 cm;1.5013;0.5255
2023;Berlingen;1356;Schafgattung;Jungschafe über 180 Tage bis 365 Tage alt;4.7425;0.2846
2023;Berlingen;1462;Ziegengattung;Andere Ziegen über 365 Tage alt, weiblich;2.3452;0.3987
2023;Berlingen;1466;Ziegengattung;Jungziegen über 180 Tage bis 365 Tage alt;0.0329;0.002
2023;Berlingen;1468;Ziegengattung;Zicklein bis 180 Tage alt;0.2466;0.0074
2023;Berlingen;1753;Nutzgeflügel;Konsumeier produzierende Hennen;33.0;0.32999999999999996
2023;Berlingen;1876;Übriges Geflügel;Wachteln;12.0;0.048
2023;Bettwiesen;1123;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 730 Tage;12.1726;7.3035
2023;Bettwiesen;1129;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere über 365 bis 730 Tage;3.0930999999999997;1.2371999999999999
2023;Bettwiesen;1143;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere über 160 bis 365 Tage alt;3.8658;1.2757
2023;Bettwiesen;1144;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere bis 160 Tage alt;29.449299999999997;3.8285000000000005
2023;Bettwiesen;1150;Rindergattung und Wasserbüffel;Andere Kühe;21.4164;21.4164
2023;Bettwiesen;1222;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage ab 148 cm;65.3479;45.7436
2023;Bettwiesen;1262;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage bis 148 cm;7.6904;2.6916
2023;Bettwiesen;1358;Schafgattung;Lämmer bis 180 Tage alt;34.126;1.0238
2023;Bettwiesen;1462;Ziegengattung;Andere Ziegen über 365 Tage alt, weiblich;4.4767;0.761
2023;Bettwiesen;1464;Ziegengattung;Andere Ziegen über 365 Tage alt, männlich;3.0;0.51
2023;Bettwiesen;1621;Schweinegattung;Zuchteber;3.0;0.75
2023;Bettwiesen;1639;Schweinegattung;Mastschweine und Remonten bis 6 Monate alt;110.0;18.7
2023;Bettwiesen;1753;Nutzgeflügel;Konsumeier produzierende Hennen;221.0;2.2100000000000004
2023;Bettwiesen;1761;Nutzgeflügel;Truten jeden Alters;35.0;0.525
2023;Bettwiesen;1882;Bienenstände/Bienenvölker;Bienenvölker;36.0;0.0
2023;Bettwiesen;1901;Hobbytierhaltung (Liebhabertiere);Zwergziegen zu Nicht-Erwerbszwecken;2.0;0.0
2023;Bichelsee-Balterswil;1143;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere über 160 bis 365 Tage alt;31.490499999999997;10.3917
2023;Bichelsee-Balterswil;1144;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere bis 160 Tage alt;50.73729999999999;6.595699999999999
2023;Bichelsee-Balterswil;1262;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage bis 148 cm;56.9042;19.916500000000003
2023;Bichelsee-Balterswil;1352;Schafgattung;Andere Schafe über 365 Tage alt, weiblich;53.597199999999994;9.1116
2023;Bichelsee-Balterswil;1354;Schafgattung;Andere Schafe über 365 Tage alt, männlich;8.8;1.496
2023;Bichelsee-Balterswil;1575;Andere Raufutter verzehrende Nutztiere;Damhirsche jeden Alters;9.0;0.8999999999999999
2023;Bichelsee-Balterswil;1621;Schweinegattung;Zuchteber;1.0;0.25
2023;Bichelsee-Balterswil;1753;Nutzgeflügel;Konsumeier produzierende Hennen;19278.0;192.78000000000003
2023;Bichelsee-Balterswil;1755;Nutzgeflügel;Junghennen, Junghähne und Kücken für die Eierproduktion;89.0;0.35600000000000004
2023;Bichelsee-Balterswil;1761;Nutzgeflügel;Truten jeden Alters;12.0;0.18
2023;Bichelsee-Balterswil;1878;Übriges Geflügel;Strausse über 13 Monate;6.0;1.56
2023;Bichelsee-Balterswil;1890;Übriges Geflügel;übriges Geflügel (Rebhühner, Pfauen, Fasane, usw.);8.0;0.0
2023;Birwinken;1123;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 730 Tage;28.0963;16.857400000000002
2023;Birwinken;1142;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere bis 160 Tage alt;91.2686;11.8649
2023;Birwinken;1143;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere über 160 bis 365 Tage alt;8.4932;2.8026999999999997
2023;Birwinken;1150;Rindergattung und Wasserbüffel;Andere Kühe;32.9205;32.9205
2023;Birwinken;1222;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage ab 148 cm;84.97810000000001;59.4847
2023;Birwinken;1224;Pferdegattung;Equiden, Jungtiere über 180 Tage bis 900 Tage, ab 148 cm;1.4767000000000001;0.7384000000000001
2023;Birwinken;1262;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage bis 148 cm;44.893100000000004;15.7126
2023;Birwinken;1263;Pferdegattung;Equiden, Hengste über 900 Tage, bis 148 cm;12.271299999999998;4.294900000000001
2023;Birwinken;1264;Pferdegattung;Equiden, Jungtiere über 180 Tage bis 900 Tage, bis 148 cm;2.9452;0.7363
2023;Birwinken;1351;Schafgattung;Milchschafe;197.6521;49.413
2023;Birwinken;1354;Schafgattung;Andere Schafe über 365 Tage alt, männlich;17.9562;3.0525
2023;Birwinken;1461;Ziegengattung;Milchziegen;3.3863;0.6773
2023;Birwinken;1462;Ziegengattung;Andere Ziegen über 365 Tage alt, weiblich;29.9506;5.091600000000001
2023;Birwinken;1466;Ziegengattung;Jungziegen über 180 Tage bis 365 Tage alt;4.7288;0.2838
2023;Birwinken;1468;Ziegengattung;Zicklein bis 180 Tage alt;16.6219;0.49870000000000003
2023;Birwinken;1585;Andere Raufutter verzehrende Nutztiere;Alpakas über 2-jährig;2.0;0.22
2023;Birwinken;1586;Andere Raufutter verzehrende Nutztiere;Alpakas unter 2-jährig;3.0;0.21
2023;Birwinken;1621;Schweinegattung;Zuchteber;5.0;1.25
2023;Birwinken;1639;Schweinegattung;Mastschweine und Remonten bis 6 Monate alt;1076.0;182.92000000000002
2023;Birwinken;1753;Nutzgeflügel;Konsumeier produzierende Hennen;409.0;4.09
2023;Birwinken;1754;Nutzgeflügel;Bruteier produzierende Hennen und Hähne (Legelinien);33.0;0.33
2023;Birwinken;1876;Übriges Geflügel;Wachteln;5.0;0.02
2023;Birwinken;1887;Übriges Geflügel;Perlhühner;5.0;0.02
2023;Birwinken;1904;Hobbytierhaltung (Liebhabertiere);Zierenten;8.0;0.0
2023;Birwinken;1971;Hobbytierhaltung (Liebhabertiere);Andere Tiere;10.0;0.0
2023;Bischofszell;1128;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 365 bis 730 Tage;116.4246;46.5698
2023;Bischofszell;1129;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere über 365 bis 730 Tage;41.4164;16.5667
2023;Bischofszell;1150;Rindergattung und Wasserbüffel;Andere Kühe;71.6685;71.6685
2023;Bischofszell;1222;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage ab 148 cm;36.178000000000004;25.324699999999996
2023;Bischofszell;1223;Pferdegattung;Equiden, Hengste über 900 Tage, ab 148 cm;3.7699;2.6389
2023;Bischofszell;1262;Pferdegattung;Equiden, weibl. und kastr. männl. Tiere über 900 Tage bis 148 cm;24.6822;8.6387
2023;Bischofszell;1621;Schweinegattung;Zuchteber;3.0;0.75
2023;Bischofszell;1631;Schweinegattung;Abgesetzte Ferkel;360.0;21.6
2023;Bischofszell;1639;Schweinegattung;Mastschweine und Remonten bis 6 Monate alt;3168.0;538.56
2023;Bischofszell;1757;Nutzgeflügel;Mastpoulets jeden Alters;26212.0;104.848
2023;Bischofszell;1863;Kaninchen;Andere Kaninchen;22.0;0.0
2023;Bottighofen;1123;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 730 Tage;0.6603;0.3962
2023;Bottighofen;1150;Rindergattung und Wasserbüffel;Andere Kühe;10.9671;10.9671
2023;Bottighofen;1356;Schafgattung;Jungschafe über 180 Tage bis 365 Tage alt;3.8521;0.23120000000000002
2023;Bottighofen;1462;Ziegengattung;Andere Ziegen über 365 Tage alt, weiblich;1.0;0.17
2023;Bottighofen;1753;Nutzgeflügel;Konsumeier produzierende Hennen;39.0;0.39
2023;Bottighofen;1862;Kaninchen;Jungtiere (Mast bzw. Aufzucht);25.0;0.275
2023;Bottighofen;1863;Kaninchen;Andere Kaninchen;15.0;0.0
2023;Bottighofen;1871;Übriges Geflügel;Enten (ohne Zierenten);12.0;0.096
2023;Bottighofen;1872;Übriges Geflügel;Gänse;8.0;0.096
2023;Braunau;1110;Rindergattung und Wasserbüffel;Milchkühe;582.0466;582.0466
2023;Braunau;1142;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere bis 160 Tage alt;106.55089999999997;13.8518
2023;Braunau;1144;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere bis 160 Tage alt;59.43000000000001;7.725899999999999
2023;Braunau;1150;Rindergattung und Wasserbüffel;Andere Kühe;85.8521;85.8521
2023;Braunau;1224;Pferdegattung;Equiden, Jungtiere über 180 Tage bis 900 Tage, ab 148 cm;4.4247;2.2123
2023;Braunau;1225;Pferdegattung;Equiden, Fohlen bis 180 Tage, ab 148 cm;1.126;0.3378
2023;Braunau;1351;Schafgattung;Milchschafe;2.0;0.5
2023;Braunau;1356;Schafgattung;Jungschafe über 180 Tage bis 365 Tage alt;25.6439;1.5385
2023;Braunau;1462;Ziegengattung;Andere Ziegen über 365 Tage alt, weiblich;13.6494;2.3204
2023;Braunau;1755;Nutzgeflügel;Junghennen, Junghähne und Kücken für die Eierproduktion;30.0;0.12
2023;Braunau;1890;Übriges Geflügel;übriges Geflügel (Rebhühner, Pfauen, Fasane, usw.);3.0;0.0
2023;Braunau;1971;Hobbytierhaltung (Liebhabertiere);Andere Tiere;3.0;0.0
2023;Brütten;1882;Bienenstände/Bienenvölker;Bienenvölker;20.0;0.0
2023;Bussnang;1128;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 365 bis 730 Tage;167.1262;66.8506
2023;Bussnang;1144;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere bis 160 Tage alt;178.02759999999998;23.1438
2023;Bussnang;1223;Pferdegattung;Equiden, Hengste über 900 Tage, ab 148 cm;2.6959;1.8871
2023;Bussnang;1224;Pferdegattung;Equiden, Jungtiere über 180 Tage bis 900 Tage, ab 148 cm;0.1507;0.0753
2023;Bussnang;1263;Pferdegattung;Equiden, Hengste über 900 Tage, bis 148 cm;6.0;2.1
2023;Bussnang;1356;Schafgattung;Jungschafe über 180 Tage bis 365 Tage alt;55.7698;3.3462000000000005
2023;Bussnang;1621;Schweinegattung;Zuchteber;6.0;1.5
2023;Bussnang;1635;Schweinegattung;Saugferkel (im Faktor des weiblichen Tieres eingerechnet);1672.0;0.0
2023;Bussnang;1639;Schweinegattung;Mastschweine und Remonten bis 6 Monate alt;3076.0;522.92
2023;Bussnang;1753;Nutzgeflügel;Konsumeier produzierende Hennen;12637.0;126.36999999999999
2023;Bussnang;1863;Kaninchen;Andere Kaninchen;34.0;0.0
2023;Bussnang;1876;Übriges Geflügel;Wachteln;25.0;0.1
2023;Bussnang;1887;Übriges Geflügel;Perlhühner;5.0;0.02
2023;Bussnang;1901;Hobbytierhaltung (Liebhabertiere);Zwergziegen zu Nicht-Erwerbszwecken;9.0;0.0
2023;Bussnang;1903;Hobbytierhaltung (Liebhabertiere);Mini-Pigs;12.0;0.0
2023;Bussnang;1971;Hobbytierhaltung (Liebhabertiere);Andere Tiere;5.0;0.0
2023;Bürglen (TG);1142;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere bis 160 Tage alt;80.5148;10.4672
2023;Bürglen (TG);1223;Pferdegattung;Equiden, Hengste über 900 Tage, ab 148 cm;2.5781;1.8047
2023;Bürglen (TG);1264;Pferdegattung;Equiden, Jungtiere über 180 Tage bis 900 Tage, bis 148 cm;2.737;0.6842
2023;Bürglen (TG);1466;Ziegengattung;Jungziegen über 180 Tage bis 365 Tage alt;6.8385;0.23029999999999998
2023;Bürglen (TG);1755;Nutzgeflügel;Junghennen, Junghähne und Kücken für die Eierproduktion;26755.0;107.02000000000001
2023;Bürglen (TG);1862;Kaninchen;Jungtiere (Mast bzw. Aufzucht);0.0;0.0
2023;Bürglen (TG);1882;Bienenstände/Bienenvölker;Bienenvölker;111.0;0.0
2023;Centovalli;1124;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere über 730 Tage;0.189;0.1134
2023;Centovalli;1128;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 365 bis 730 Tage;1.2301;0.4921
2023;Centovalli;1141;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 160 bis 365 Tage;0.8356;0.2758
2023;Diessenhofen;1110;Rindergattung und Wasserbüffel;Milchkühe;72.7864;72.7864
2023;Diessenhofen;1123;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 730 Tage;5.753299999999999;3.4520999999999993
2023;Diessenhofen;1124;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere über 730 Tage;0.5452;0.3271
2023;Diessenhofen;1141;Rindergattung und Wasserbüffel;Rindvieh, weibliche Tiere über 160 bis 365 Tage;24.0136;7.9245
2023;Diessenhofen;1143;Rindergattung und Wasserbüffel;Rindvieh, männliche Tiere über 160 bis 365 Tage alt;3.8410999999999995;1.2676
